Team,Goals,Passes,Completed,Pass %,Key passes,Progressive passes,Progressive completed,Long balls,Long balls completed,xT,Shots,On target,xG,Ground duels,Ground duels won,Dribbles,Dribbles won,Tackles,Tackles won,Aerial duels,Aerials won,Interceptions,Clearances,Saves,Blocks,Turnovers,Serious mistakes,Fouls,Offsides
Team Matto,0,194,150,77,14,134,93,24,12,0.588,14,6,4.189,10,5,9,7,23,15,0,0,36,4,3,3,51,2,0,3
Team Sempu,0,148,105,71,6,102,64,19,12,0.109,8,3,1.884,9,0,14,8,19,7,0,0,35,4,7,4,52,3,0,3
