ID,Period,Match clock,Video time (s),Action,Team,Player,Second player,Successful,X (m),Y (m),End X (m),End Y (m),Norm X,Norm Y,Norm end X,Norm end Y,Goal X (m),Goal Y (m),Miss,On target,Pass outcome,xG,xT
dd3d4a6f-a68d-46c2-a893-712c1edfc7be,2nd half,24:16,1456.26,Pass,Team Sempu,Hubert,,1,12.1,67.74,22.05,64.67,92.9,0.26,82.95,3.33,,,,,,,-0.007
0382cc0c-2f20-42a2-9620-3d55da58e458,2nd half,24:18,1458.59,Pass,Team Sempu,Kacper,Krystian,0,22.3,61.61,14.55,46.92,82.7,6.39,90.45,21.08,,,,,intercepted,,
a2dc08e0-942e-426f-8abe-eb05e3576fc5,2nd half,24:21,1461.83,Pass,Team Matto,Krystian,Sempu,0,14.55,46.11,25.57,50.6,14.55,46.11,25.57,50.6,,,,,intercepted,,
82571f9f-2fa2-423d-8a3e-bfd78b4bc6b7,2nd half,24:23,1463.8,Shot,Team Sempu,Sempu,,0,23.94,47.33,,,81.06,20.67,,,,,wide-left,0,,0.067,
e75a033a-1e82-46ab-9e62-adbdcead55cc,2nd half,24:45,1485.82,Pass,Team Matto,Tomek E,Wojtek,0,5.57,42.84,51.28,38.76,5.57,42.84,51.28,38.76,,,,,intercepted,,
d29e9961-6a2e-48cb-8d93-702eabe7bc62,2nd half,24:49,1489.7,Pass,Team Sempu,Wojtek,Wojtunia,0,51.28,38.76,46.79,38.76,53.72,29.24,58.21,29.24,,,,,intercepted,,
03fae1ab-6296-4c20-98b2-ad98446c7456,2nd half,24:52,1492.7,Pass,Team Matto,Wojtunia,Matto,0,45.56,30.6,59.62,34.5,45.56,30.6,59.62,34.5,,,,,intercepted,,
5ef46916-a4ed-4483-9f4a-58c595bb7001,2nd half,24:57,1497.05,Pass,Team Sempu,Matto,,1,54.54,40.8,48.01,54.27,50.46,27.2,56.99,13.73,,,,,,,0.001
cd1b1b56-5123-47ca-9853-103f199f7cab,2nd half,25:00,1500.27,Pass,Team Sempu,Kacper,,1,41.12,57.27,34.14,49.78,63.88,10.73,70.86,18.22,,,,,,,0.005
56c06813-0b45-4f6e-b86d-cc214a1372a9,2nd half,25:01,1501.93,Pass,Team Sempu,Hubert,,1,33.73,49.37,18.22,55.9,71.27,18.63,86.78,12.1,,,,,,,0.005
ef7ee9ae-140f-493d-94bc-98865a062e86,2nd half,25:07,1507.07,Dribble,Team Sempu,Kacper,Mateusz,1,2.72,57.94,,,102.28,10.06,,,,,,,,,
26893648-5036-4d54-b2f6-92965e506de6,2nd half,25:09,1509.36,Turnover,Team Sempu,Kacper,,1,0.68,48.56,,,104.32,19.44,,,,,,,,,
6edab693-c1d6-42bf-ba05-e4b1486bab7c,2nd half,25:26,1526.92,Pass,Team Matto,Tomek E,,1,4.76,42.44,13.33,51,4.76,42.44,13.33,51,,,,,,,-0.001
532d0fea-c9ce-4ed8-b194-57715f2ad397,2nd half,25:30,1530.89,Pass,Team Matto,Mateusz,,1,13.73,51,25.98,47.74,13.73,51,25.98,47.74,,,,,,,0.001
92abb727-58a7-43c5-b44c-dbf190ec9038,2nd half,25:33,1533.32,Ground duel,Team Matto,Krzysiek K,Hubert,0,30.87,47.74,,,30.87,47.74,,,,,,,,,
a66342af-efd7-4d85-af54-b3a25ae3d211,2nd half,25:35,1535.84,Pass,Team Sempu,Hubert,,1,41.97,45.6,45.56,35.5,63.03,22.4,59.44,32.5,,,,,,,-0.002
1a498d92-c5c2-468e-871e-9ee25a2269fe,2nd half,25:42,1542.76,Pass,Team Sempu,Roszkol,Dawid,0,21.9,21.62,15.77,24.07,83.1,46.38,89.23,43.93,,,,,intercepted,,
4efd7a49-7bb6-4c2a-aee5-a5ca09ae745d,2nd half,25:45,1545.3,Pass,Team Matto,Dawid,Bartek,0,14.96,24.48,28.02,19.58,14.96,24.48,28.02,19.58,,,,,intercepted,,
7a24ab90-ad27-4de2-8714-176f3fdb8929,2nd half,25:47,1547.84,Pass,Team Sempu,Bartek,,1,28.83,20.4,16.59,27.75,76.17,47.6,88.41,40.25,,,,,,,0.084
7c7a2d05-8fce-4a20-aaef-3128ec6e276b,2nd half,25:50,1550.2,Pass,Team Sempu,Janek,,1,17,27.75,31.28,25.3,88,40.25,73.72,42.7,,,,,,,-0.084
01c785cb-aaeb-4960-99dd-7d51b982c0dd,2nd half,25:53,1553.33,Pass,Team Sempu,Mateusz (?),,1,30.06,25.7,21.08,30.19,74.94,42.3,83.92,37.81,,,,,,,0.011
42f3c33d-63ca-4d5b-bc6b-a01b24c66b1e,2nd half,25:55,1555.02,Ground duel,Team Sempu,Hubert,Krzysiek K,0,21.08,28.56,,,83.92,39.44,,,,,,,,,
81e5f502-2d56-4b09-b745-bff623c8badd,2nd half,25:55,1555.39,Pass,Team Matto,Krystian,,1,16.59,29.38,24.75,29.38,16.59,29.38,24.75,29.38,,,,,,,-0.001
d4620099-aec9-4754-bd4c-6f860843ef80,2nd half,25:56,1556.65,Pass,Team Matto,Wojtunia,,1,24.75,29.38,34.55,38.35,24.75,29.38,34.55,38.35,,,,,,,0.001
bbec9a93-afd0-47b6-b5c8-05c07d611cc1,2nd half,26:00,1560.23,Pass,Team Matto,Marek,Matto,0,39.44,40.4,78.21,29.38,39.44,40.4,78.21,29.38,,,,,intercepted,,
c3eda314-7558-456f-9e95-a0145fc5eca1,2nd half,26:04,1564.16,Pass,Team Sempu,Matto,,1,79.43,29.38,91.67,31.83,25.57,38.62,13.33,36.17,,,,,,,0.001
d37363c4-07bd-4af8-8878-a6879eba5336,2nd half,26:06,1566.98,Pass,Team Sempu,Kroma,,1,90.04,28.15,80.25,24.48,14.96,39.85,24.75,43.52,,,,,,,-0.001
3da5c12b-4bf3-4d41-8a18-86827420eb66,2nd half,26:13,1573.03,Pass,Team Sempu,Mateusz (?),Marek,0,67.6,25.7,51.28,35.09,37.4,42.3,53.72,32.91,,,,,intercepted,,
2352422e-6c2c-4f7d-858f-c0853b499ac8,2nd half,26:17,1577.18,Pass,Team Matto,Marek,Wojtek,0,60.25,38.35,73.31,33.46,60.25,38.35,73.31,33.46,,,,,intercepted,,
